,csp,tsLR,fgmdm,mdm
1,0.9083333333333334,0.9550000000000001,0.9133333333333333,0.9383333333333332
2,0.8400000000000001,0.9266666666666665,0.8566666666666667,0.8566666666666667
3,0.4033333333333333,0.49333333333333335,0.44666666666666666,0.5133333333333333
4,0.78,0.7883333333333333,0.7016666666666667,0.8383333333333333
5,0.6216666666666667,0.735,0.72,0.7849999999999999
6,0.7066666666666667,0.7150000000000001,0.6483333333333333,0.5816666666666667
7,0.8666666666666668,0.95,0.8833333333333334,0.8883333333333333
8,0.9166666666666667,0.9416666666666668,0.9166666666666667,0.8916666666666668
9,0.52,0.4683333333333334,0.5016666666666667,0.49000000000000005
10,0.705,0.6566666666666666,0.5866666666666667,0.5900000000000001
11,0.6133333333333334,0.505,0.4766666666666667,0.53
12,0.8516666666666666,0.9633333333333333,0.8400000000000001,0.8300000000000001
13,0.85,0.7683333333333333,0.7683333333333333,0.7733333333333333
14,0.6366666666666667,0.765,0.6083333333333334,0.7
15,0.95,0.8333333333333334,0.755,0.8583333333333334
16,0.6166666666666667,0.5083333333333333,0.6266666666666667,0.5616666666666668
17,0.5033333333333333,0.6783333333333333,0.6416666666666666,0.5216666666666667
18,0.5516666666666666,0.5700000000000001,0.5733333333333334,0.5066666666666666
19,0.735,0.705,0.7133333333333333,0.7466666666666667
20,0.7216666666666667,0.7216666666666667,0.61,0.6183333333333334
21,0.5233333333333333,0.6266666666666667,0.6616666666666667,0.5349999999999999
22,0.645,0.7983333333333333,0.6833333333333333,0.8183333333333334
23,0.6066666666666667,0.7266666666666667,0.6599999999999999,0.7466666666666667
24,0.6683333333333333,0.6583333333333334,0.6883333333333332,0.5349999999999999
25,0.8683333333333334,0.7933333333333333,0.7316666666666667,0.8016666666666665
26,0.6900000000000001,0.63,0.625,0.525
27,0.6433333333333333,0.6383333333333334,0.655,0.5883333333333333
28,0.33166666666666667,0.5066666666666666,0.54,0.47833333333333333
29,0.9583333333333334,0.9333333333333333,0.9416666666666668,0.9333333333333333
30,0.5766666666666667,0.655,0.6066666666666667,0.7066666666666667
31,0.8133333333333332,0.8683333333333334,0.8133333333333332,0.7566666666666666
32,0.5516666666666666,0.655,0.6033333333333333,0.4883333333333333
33,0.755,0.8216666666666667,0.825,0.7716666666666667
34,0.85,0.875,0.8583333333333334,0.875
35,0.9550000000000001,0.9550000000000001,0.9550000000000001,0.9349999999999999
36,0.6633333333333333,0.7633333333333334,0.6799999999999999,0.6966666666666667
37,0.6183333333333334,0.5266666666666666,0.44000000000000006,0.5233333333333333
38,0.515,0.6383333333333333,0.6516666666666666,0.585
39,0.485,0.42666666666666664,0.385,0.5349999999999999
40,0.29166666666666663,0.5566666666666666,0.6316666666666666,0.5733333333333334
41,0.6433333333333333,0.465,0.43166666666666664,0.5650000000000001
42,0.9550000000000001,1.0,0.9800000000000001,0.9400000000000001
43,0.8716666666666667,0.6683333333333333,0.605,0.6966666666666667
44,0.7516666666666667,0.7183333333333334,0.74,0.7433333333333334
45,0.4716666666666667,0.4666666666666667,0.3516666666666667,0.45999999999999996
46,0.5566666666666666,0.5566666666666666,0.5766666666666667,0.5816666666666667
47,0.5533333333333333,0.43166666666666664,0.43166666666666664,0.47333333333333333
48,0.7933333333333333,0.8466666666666667,0.8383333333333333,0.7316666666666667
49,0.8133333333333332,0.8633333333333333,0.8266666666666665,0.7216666666666667
50,0.5566666666666666,0.6666666666666666,0.7,0.6616666666666667
51,0.6616666666666667,0.65,0.6300000000000001,0.5549999999999999
52,0.7383333333333334,0.7383333333333334,0.7633333333333334,0.7883333333333333
53,0.5266666666666666,0.49000000000000005,0.465,0.47333333333333333
54,0.6966666666666667,0.8466666666666667,0.8666666666666668,0.7683333333333333
55,0.9550000000000001,0.9216666666666666,0.9133333333333333,0.8800000000000001
56,0.7466666666666667,0.7683333333333333,0.6433333333333333,0.7483333333333333
57,0.5566666666666666,0.58,0.5383333333333333,0.6133333333333333
58,0.755,0.7233333333333334,0.71,0.7233333333333334
59,0.45666666666666667,0.5733333333333334,0.5066666666666666,0.545
60,0.86,0.9099999999999999,0.765,0.8433333333333334
61,0.6766666666666666,0.655,0.6333333333333334,0.675
62,0.975,1.0,1.0,0.95
63,0.6599999999999999,0.7633333333333334,0.7716666666666667,0.5966666666666667
64,0.465,0.5516666666666666,0.5183333333333333,0.5883333333333333
65,0.7216666666666667,0.6683333333333333,0.6966666666666667,0.71
66,0.6900000000000001,0.6016666666666667,0.6966666666666667,0.515
67,0.58,0.43166666666666664,0.49000000000000005,0.43499999999999994
68,0.5516666666666666,0.6716666666666666,0.6216666666666667,0.7166666666666666
69,0.7233333333333334,0.615,0.5983333333333334,0.7150000000000001
70,0.975,0.95,0.925,0.9
71,0.8800000000000001,0.925,0.9,0.925
72,0.93,0.95,0.93,0.93
73,0.8466666666666667,0.75,0.7416666666666666,0.7833333333333334
74,0.47333333333333333,0.5266666666666666,0.45499999999999996,0.385
75,0.6900000000000001,0.64,0.6599999999999999,0.545
76,0.605,0.44666666666666666,0.4633333333333334,0.5549999999999999
77,0.5716666666666667,0.5283333333333333,0.48666666666666664,0.4616666666666666
78,0.5900000000000001,0.5766666666666667,0.515,0.585
79,0.6583333333333333,0.7516666666666667,0.6866666666666668,0.6166666666666666
80,0.86,0.9,0.7933333333333333,0.7733333333333333
81,0.5900000000000001,0.6183333333333334,0.63,0.6599999999999999
82,0.7733333333333333,0.7416666666666667,0.6916666666666667,0.7166666666666667
83,0.76,0.7933333333333333,0.78,0.7483333333333333
84,0.5483333333333333,0.5566666666666666,0.5700000000000001,0.6233333333333333
85,0.9416666666666667,0.9833333333333334,0.9666666666666666,0.9833333333333334
86,0.8966666666666667,0.8816666666666666,0.8616666666666667,0.9016666666666666
87,0.7416666666666666,0.6766666666666666,0.635,0.7633333333333334
90,0.6733333333333333,0.52,0.545,0.47000000000000003
91,0.7150000000000001,0.6483333333333333,0.6483333333333333,0.6900000000000001
93,0.8916666666666666,0.9416666666666667,0.78,0.8666666666666666
94,0.6766666666666666,0.64,0.6766666666666666,0.7633333333333334
95,0.6766666666666666,0.7666666666666667,0.8333333333333334,0.7416666666666667
96,0.5900000000000001,0.465,0.4,0.43499999999999994
97,0.35333333333333333,0.44333333333333336,0.49333333333333335,0.5599999999999999
98,0.44333333333333336,0.5783333333333334,0.5133333333333333,0.6083333333333333
99,0.5533333333333333,0.475,0.545,0.44833333333333336
101,0.5016666666666667,0.6216666666666667,0.5516666666666666,0.6166666666666666
102,0.6016666666666667,0.58,0.505,0.6466666666666667
103,0.6183333333333334,0.7466666666666667,0.7883333333333333,0.7133333333333334
104,0.78,0.7966666666666666,0.735,0.7766666666666666
105,0.7233333333333334,0.6033333333333333,0.605,0.6333333333333333
106,0.6483333333333333,0.6966666666666667,0.62,0.6216666666666667
107,0.585,0.6799999999999999,0.5516666666666666,0.6433333333333333
108,0.615,0.6266666666666667,0.5683333333333334,0.635
109,0.5083333333333333,0.525,0.48,0.49333333333333335
